CMPLNT_NUM,ADDR_PCT_CD,BORO_NM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,CRM_ATPT_CPTD_CD,HADEVELOPT,JURIS_DESC,KY_CD,LAW_CAT_CD,LOC_OF_OCCUR_DESC,OFNS_DESC,PARKS_NM,PD_CD,PD_DESC,PREM_TYP_DESC,RPT_DT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
343492252,44,BRONX,12/31/2021,4:20:00,,,COMPLETED,,N.Y. POLICE DEPT,344,MISDEMEANOR,INSIDE,ASSAULT 3 & RELATED OFFENSES,,101,ASSAULT 3,RESIDENCE - APT. HOUSE,12/31/2021,1006717,244842,40.83868966,-73.91880636,"(40.838689661000046, -73.91880635699994)"
237523345,105,QUEENS,12/31/2021,20:57:00,12/31/2021,20:57:00,COMPLETED,,N.Y. POLICE DEPT,113,FELONY,,FORGERY,,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",STREET,12/31/2021,1057738,204079,40.72652938,-73.73486454,"(40.72652937700008, -73.73486453799995)"
495496948,52,BRONX,12/31/2021,4:52:00,12/31/2021,10:38:00,COMPLETED,,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,12/31/2021,1019141,259102,40.87778871,-73.8738322,"(40.87778870600005, -73.87383219999998)"
822360567,88,BROOKLYN,12/31/2021,14:15:00,12/31/2021,14:25:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,FRONT OF,PETIT LARCENY,,343,"LARCENY,PETIT OF BICYCLE",RESIDENCE - APT. HOUSE,12/31/2021,990275,189696,40.68735463,-73.97827669,"(40.68735463300004, -73.97827668799994)"
330713178,42,BRONX,12/31/2021,19:15:00,12/31/2021,19:20:00,COMPLETED,,N.Y. POLICE DEPT,344,MISDEMEANOR,,ASSAULT 3 & RELATED OFFENSES,,101,ASSAULT 3,STREET,12/31/2021,1012188,245084,40.83933827,-73.89903333,"(40.83933826800006, -73.89903332699998)"
291897853,103,QUEENS,12/31/2021,1:00:00,12/31/2021,3:00:00,COMPLETED,,N.Y. POLICE DEPT,109,FELONY,FRONT OF,GRAND LARCENY,,443,"LARCENY,GRAND OF BICYCLE",RESIDENCE - APT. HOUSE,12/31/2021,1037509,195481,40.7030749,-73.80791637,"(40.70307489900005, -73.80791636699998)"
108927031,13,MANHATTAN,12/31/2021,20:10:00,,,COMPLETED,,N.Y. HOUSING POLICE,578,VIOLATION,INSIDE,HARRASSMENT 2,,638,"HARASSMENT,SUBD 3,4,5",RESIDENCE - PUBLIC HOUSING,12/31/2021,990742,208935,40.74016078,-73.97657424,"(40.74016077500005, -73.97657424399995)"
909949237,20,MANHATTAN,12/31/2021,11:22:00,12/31/2021,11:30:00,COMPLETED,,N.Y. POLICE DEPT,351,MISDEMEANOR,INSIDE,CRIMINAL MISCHIEF & RELATED OF,,259,"CRIMINAL MISCHIEF,UNCLASSIFIED 4",CHAIN STORE,12/31/2021,989211,222871,40.77841252,-73.98208877,"(40.77841252300004, -73.98208876999998)"
572288072,42,BRONX,12/31/2021,14:30:00,12/31/2021,14:35:00,COMPLETED,,N.Y. POLICE DEPT,361,MISDEMEANOR,INSIDE,OFF. AGNST PUB ORD SENSBLTY &,,639,AGGRAVATED HARASSMENT 2,RESIDENCE - APT. HOUSE,12/31/2021,1009342,239060,40.82281267,-73.90934131,"(40.82281266700004, -73.90934131299997)"
762154031,44,BRONX,12/31/2021,15:00:00,12/31/2021,17:00:00,COMPLETED,,N.Y. POLICE DEPT,341,MISDEMEANOR,INSIDE,PETIT LARCENY,,333,"LARCENY,PETIT FROM STORE-SHOPL",DEPARTMENT STORE,12/31/2021,1003307,239962,40.82530348,-73.93114386,"(40.82530348200004, -73.93114385699994)"
